Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-1039.725	-1253.807	214.0823	0.806863	0.189955	0.116217	0.441275	0.252553	2.223376	0.8887844
6	-1031.586	-1246.166	214.5797	0.464834	0.0642419	0.170111	0.511648	0.253999	2.21851	0.7031143
12	-1025.203	-1239.157	213.9543	0.9914864	0.0915237	0.314562	0.261311	0.332603	2.341095	0.6157274
18	-1033.622	-1247.146	213.524	1.414657	0.0449541	0.266895	0.490436	0.197716	2.289234	0.7673084
24	-1037.718	-1251.894	214.1756	0.6575854	0.0684115	0.0390163	0.669003	0.22357	2.289234	0.8869836
30	-1039.098	-1252.941	213.8436	0.9034698	0.158648	0.407541	0.231844	0.201967	2.116921	1.132406
36	-1043.39	-1257.114	213.7244	0.8754252	0.244631	0.111806	0.357497	0.286066	2.259843	1.137016
42	-1042.256	-1256.436	214.1794	0.8697249	0.326701	0.0505634	0.28922	0.333516	1.981856	0.9741917
48	-1021.923	-1235.441	213.5183	1.308232	0.338885	0.103615	0.0887171	0.468784	2.480335	0.5968579
54	-1023.974	-1235.723	211.7489	4.154444	0.338771	0.365168	0.0427926	0.253268	2.279	0.7909097
60	-1019.569	-1231.574	212.0051	3.715948	0.147061	0.277064	0.0599677	0.515907	2.2459	0.7896408
66	-1017.338	-1230.206	212.8685	2.264213	0.342291	0.100648	0.145136	0.411925	2.300655	0.730285
72	-1012.048	-1223.159	211.1109	5.457783	0.30536	0.241911	0.0299997	0.422729	2.363836	0.7507383
78	-997.2783	-1209.816	212.5377	2.656164	0.187993	0.432807	0.094861	0.284339	2.107619	1.034719
84	-1004.106	-1217.706	213.6003	1.199758	0.315438	0.162079	0.157968	0.364514	2.024977	1.170702
90	-1031.888	-1245.045	213.1576	0.9410751	0.339183	0.169979	0.247532	0.243306	2.421277	1.415712
96	-1040.869	-1253.989	213.1196	0.8249355	0.366838	0.183838	0.186179	0.263144	2.31836	1.610375
102	-1011.148	-1224.991	213.8433	1.120277	0.121849	0.425495	0.396555	0.0561016	1.843189	1.183452
108	-1018.175	-1232.188	214.0125	0.9218373	0.0480341	0.018701	0.875347	0.0579182	2.086848	0.9827522
114	-1024.14	-1238.099	213.959	0.8670753	0.237897	0.209883	0.369364	0.182856	2.469878	0.5964325
120	-1016.006	-1229.725	213.7197	1.142528	0.149277	0.0818359	0.407788	0.361099	2.388803	0.6971344
126	-1020.73	-1234.152	213.4221	1.268513	0.294764	0.0387579	0.49546	0.171019	2.562273	0.7066667
132	-1024.215	-1237.371	213.1554	1.569385	0.317901	0.0396967	0.159486	0.482916	2.624097	0.5582563
138	-1025.669	-1239.131	213.4629	1.353965	0.188716	0.0164861	0.594242	0.200556	2.458688	0.6794985
144	-1024.78	-1237.787	213.0066	1.621103	0.392625	0.00476031	0.421101	0.181514	2.428433	1.000513
150	-1017.546	-1230.969	213.4229	1.178158	0.502478	0.00338861	0.261833	0.2323	2.452004	0.9534927
156	-1018.242	-1231.402	213.1604	1.178158	0.439188	0.00394439	0.159486	0.397381	2.386435	1.254865
162	-1032.164	-1243.993	211.8286	3.608929	0.13903	0.349459	0.15022	0.361291	2.263789	1.030284
168	-1021.12	-1235.018	213.8984	0.860757	0.158925	0.325791	0.178462	0.336822	2.237464	1.009155
174	-1017.025	-1231.31	214.2849	0.5157828	0.276464	0.124248	0.48183	0.117458	2.242359	0.9790411
180	-1029.429	-1243.382	213.9536	0.7481815	0.133159	0.263695	0.294593	0.308553	2.288483	1.020611
186	-1023.858	-1236.809	212.9517	1.301358	0.376149	0.164453	0.224382	0.235015	2.288483	1.408524
192	-1024.77	-1238.21	213.4398	0.9769597	0.139947	0.227435	0.363433	0.269184	2.401987	1.171339
198	-1023.312	-1237.246	213.9336	0.7175111	0.113859	0.196276	0.45756	0.232305	2.177168	1.171339
204	-1022.661	-1236.546	213.8848	0.7334615	0.199245	0.140682	0.324562	0.335511	2.351233	1.041562
